item_id,name,category,style,material,color,brand,price
item1,Modern Chair,Bed,Modern,Glass,Black,Ashley,947.55
item2,Modern Chair,Bed,Rustic,Leather,White,Herman Miller,114.77
item3,Minimalist Bed,Chair,Minimalist,Velvet,Gray,Wayfair,880.09
item4,Modern Sofa,Cabinet,Modern,Metal,White,West Elm,843.67
item5,Industrial Cabinet,Chair,Modern,Wood,White,West Elm,292.08
item6,Industrial Sofa,Chair,Vintage,Metal,Black,Herman Miller,505.84
item7,Rustic Sofa,Bed,Modern,Wood,Brown,West Elm,263.91
item8,Modern Chair,Cabinet,Modern,Velvet,Brown,Wayfair,510.97
item9,Minimalist Cabinet,Sofa,Vintage,Leather,Black,Wayfair,733.43
item10,Vintage Table,Sofa,Vintage,Metal,White,West Elm,424.42
item11,Vintage Bed,Chair,Rustic,Velvet,Black,Ashley,55.78
item12,Minimalist Cabinet,Bed,Industrial,Glass,Blue,West Elm,657.52
item13,Industrial Chair,Sofa,Modern,Velvet,Blue,West Elm,856.72
item14,Rustic Cabinet,Sofa,Vintage,Velvet,Brown,West Elm,979.3
item15,Minimalist Bed,Bed,Modern,Glass,Brown,West Elm,764.2
item16,Modern Table,Sofa,Modern,Wood,Black,Ashley,474.03
item17,Rustic Chair,Bed,Rustic,Metal,Black,Ashley,879.98
item18,Modern Table,Chair,Minimalist,Metal,Black,Wayfair,827.14
item19,Vintage Table,Sofa,Industrial,Wood,Gray,Herman Miller,994.28
item20,Rustic Sofa,Sofa,Vintage,Glass,White,West Elm,427.62
item21,Vintage Chair,Bed,Vintage,Velvet,Gray,IKEA,672.28
item22,Industrial Table,Sofa,Modern,Velvet,Brown,Wayfair,387.09
item23,Modern Cabinet,Table,Modern,Metal,Black,Ashley,675.68
item24,Modern Table,Chair,Industrial,Wood,White,IKEA,608.53
item25,Vintage Sofa,Cabinet,Modern,Metal,Gray,IKEA,726.89
item26,Rustic Sofa,Sofa,Industrial,Wood,White,Wayfair,104.48
item27,Modern Sofa,Table,Rustic,Velvet,Brown,Wayfair,97.86
item28,Minimalist Sofa,Chair,Vintage,Wood,Blue,Wayfair,878.6
item29,Minimalist Sofa,Cabinet,Vintage,Velvet,Brown,Ashley,620.91
item30,Rustic Table,Cabinet,Modern,Metal,White,Ashley,229.84
item31,Minimalist Cabinet,Bed,Industrial,Metal,Gray,Herman Miller,764.61
item32,Rustic Table,Bed,Rustic,Metal,White,Herman Miller,496.04
item33,Modern Cabinet,Bed,Minimalist,Wood,Blue,Herman Miller,725.48
item34,Industrial Chair,Cabinet,Rustic,Metal,Blue,IKEA,616.67
item35,Modern Chair,Table,Industrial,Velvet,Black,West Elm,758.66
item36,Modern Cabinet,Cabinet,Minimalist,Leather,Gray,Wayfair,143.31
item37,Minimalist Sofa,Sofa,Modern,Glass,Black,West Elm,773.94
item38,Vintage Cabinet,Table,Minimalist,Wood,Black,IKEA,809.71
item39,Industrial Table,Chair,Industrial,Metal,Black,Wayfair,919.95
item40,Vintage Bed,Sofa,Vintage,Wood,Black,Ashley,300.25
item41,Minimalist Table,Cabinet,Vintage,Velvet,Gray,Ashley,581.33
item42,Minimalist Bed,Chair,Minimalist,Metal,Black,Ashley,993.7
item43,Industrial Bed,Cabinet,Minimalist,Metal,Brown,West Elm,891.29
item44,Minimalist Cabinet,Cabinet,Industrial,Wood,White,Herman Miller,726.08
item45,Vintage Cabinet,Cabinet,Rustic,Leather,Gray,Ashley,695.11
item46,Minimalist Table,Chair,Rustic,Glass,Brown,IKEA,426.38
item47,Minimalist Cabinet,Bed,Minimalist,Leather,Blue,Ashley,82.78
